Neighbourhood,Employment
Humber,62291.7
Mount Olive,3467.84
Thistletown,1401.46
Rexdale,1259.28
Elms,965.31
Kingsview Village,2992.13
Willowridge,1970.17
Humber Heights,957.82
Edenbridge,1426.05
Princess,1310.59
Eringate,3711.57
Markland Wood,1597.09
Etobicoke  Mall,4639.46
Islington,48953.79
Kingsway,2496.11
Stonegate,6341.31
Mimico,12345.88
New Toronto,5653.94
Long Branch,1221.87
Alderwood,5172.89
Humber Summit,19188.55
Humbermede,6199.13
Pelmo Park,3052.0
Black Creek,4122.06
Glenfield,8897.29
Downsview,21540.35
York University Heights,45844.06
Rustic,587.95
Maple Leaf,787.85
Brookhaven,5157.92
Yorkdale,26388.26
Englemount,3736.16
Clanton Park,5356.76
Bathurst Manor,3602.53
minster,3235.86
Newtonbrook,9718.28
Willowdale,7600.59
Lansing,13099.53
Bedford Park,8751.9
St.Andrew,13921.59
Bridle Path,12567.16
Banbury,27381.37
Victoria Village,7520.42
Flemingdon Park,5439.07
Parkwoods,2995.34
Pleasant View,1242.18
Don Valley Village,6029.16
Hillcrest Village,12620.61
Bayview Woods,2359.28
Newtonbrook,4657.63
Willowdale,17131.79
Bayview Village,10024.01
Henry Farm,20020.23
O'Connor,4999.71
Thorncliffe Park,10526.44
Leaside,3101.17
Broadview,1374.73
Old  York,1087.17
Danforth,3971.34
Woodbine,596.5
Taylor,1495.53
End,3886.88
Beaches,6086.89
Woodbine Corridor,2026.82
Greenwood,2503.6
Danforth,2978.23
Playter Estates,2397.77
Riverdale,4311.28
Blake,1912.44
Riverdale,13232.08
Cabbagetown,2686.4
Regent Park,2064.24
Moss Park,12882.52
St.James Town,7167.64
Church,57773.04
Bay Street Corridor,198717.48
Waterfront Communities,94134.0
Kensington,39772.14
University,11723.72
Palmerston,3487.08
Trinity,5751.22
Niagara,16698.85
Dufferin Grove,4352.97
Little Portugal,2776.19
Parkdale,8142.57
Roncesvalles,3084.06
High Park,7048.99
High Park,2754.81
Runnymede,2588.05
Junction Area,6978.43
on,1297.77
Corso Italia,2256.66
Dovercourt,5427.31
Wychwood,5497.87
Annex,27493.61
Casa Loma,3509.53
Yonge,8400.2
Rosedale,20482.04
Mount Pleasant,5068.13
Yonge,12556.47
Forest Hill,2079.2
Forest Hill,958.89
Lawrence Park,1746.75
Mount Pleasant,14229.46
Lawrence Park,3874.06
Humewood,1437.8
Oakwood Village,1681.54
Briar Hill,3683.77
Caledonia,1009.14
Keelesdale,1757.44
Rockcliffe,3575.8
Beechborough,4425.66
on,4893.88
Lambton Baby Point,468.22
Mount Dennis,2349.66
Steeles,6237.62
L'Amoreaux,5060.65
Tam O'Shanter,4149.86
Wexford,17870.47
Clairlea,16452.98
Oakridge,1889.99
Birchcliffe,3450.73
Cliffcrest,2279.11
Kennedy Park,1949.86
Ionview,1072.21
Dorset Park,13599.82
Bendale,18899.92
Agincourt,19593.7
Agincourt,7962.98
Milliken,18067.17
Rouge,15187.28
Malvern,11943.94
Centennial Scarborough,1016.62
Highland Creek,1922.06
Morningside,3812.05
Hill,4810.5
Woburn,17307.11
Eglinton,2513.22
Scarborough Village,1978.72
Guildwood,987.76
